file,line,field,class,binding,sub_issue,target_facade,snippet
zhtp/src/api/handlers/token/mod.rs,568,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/token/mod.rs,656,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/token/mod.rs,783,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/wallet/mod.rs,388,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/wallet/mod.rs,535,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/web4/domains.rs,401,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/web4/domains.rs,1024,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/web4/domains.rs,2329,token_contracts,Reference,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),.token_contracts
zhtp/src/api/handlers/web4/domains.rs,2415,token_contracts,Lookup,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),let token = bc.token_contracts.get(&sov_token_id).unwrap();
zhtp/src/api/handlers/web4/domains.rs,2444,token_contracts,Mutate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),let token = bc.token_contracts.get_mut(&sov_token_id).unwrap();
zhtp/src/runtime/mod.rs,1140,token_contracts,Aggregate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),|| !blockchain.token_contracts.is_empty();
zhtp/src/runtime/mod.rs,1146,token_contracts,Aggregate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),blockchain.token_contracts.len()
zhtp/src/runtime/mod.rs,1202,token_contracts,Lookup,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),if !blockchain.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/mod.rs,1204,token_contracts,Mutate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),blockchain.token_contracts.insert(sov_token_id; sov_token);
zhtp/src/runtime/mod.rs,1352,token_contracts,Lookup,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),if let Some(sov_contract) = blockchain.token_contracts.get(&sov_token_id) {
zhtp/src/runtime/mod.rs,2165,token_contracts,Aggregate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),bc.token_contracts.len()
zhtp/src/runtime/mod.rs,2171,token_contracts,Lookup,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),if !bc.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/mod.rs,2173,token_contracts,Mutate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),bc.token_contracts.insert(sov_token_id; sov_token.clone());
zhtp/src/runtime/services/genesis_funding.rs,59,token_contracts,Lookup,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),if !blockchain.token_contracts.contains_key(&sov_token_id) {
zhtp/src/runtime/services/genesis_funding.rs,61,token_contracts,Mutate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),blockchain.token_contracts.insert(sov_token_id; sov_token);
zhtp/src/runtime/services/genesis_funding.rs,225,token_contracts,Mutate,blockchain,#2637,token_balance()|get_token_contract()|iter_token_contracts(),if let Some(token) = blockchain.token_contracts.get_mut(&sov_token_id) {
tools/chain_audit.rs,144,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,"println!(""  identity_registry entries:  {}""; bc.identity_registry.len());"
tools/chain_audit.rs,149,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,let mut sorted_ids: Vec<_> = bc.identity_registry.values().collect();
tools/chain_audit.rs,174,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,let identity_divergence = bc.identity_registry.len() as i64 - identity_dids_in_blocks.len() as i64;
tools/chain_audit.rs,179,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,bc.identity_registry.len(); identity_dids_in_blocks.len(); identity_divergence);
tools/chain_audit.rs,198,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,for (did; _) in &bc.identity_registry {
tools/testnet_reset.rs,100,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,bc.identity_registry.values().cloned().collect();
tools/wallet_probe.rs,41,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len();
tools/wallet_probe.rs,58,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,"println!(""identity_registry entries: {}""; blockchain.identity_registry.len());"
tools/wallet_probe.rs,64,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,for (did; id) in blockchain.identity_registry.iter() {
zhtp-cli/src/commands/genesis.rs,75,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,bc.identity_registry.len();
zhtp/src/api/handlers/identity/backup_recovery.rs,440,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,let dn = blockchain.identity_registry.get(&did).map(|id| id.display_name.clone());
zhtp/src/api/handlers/identity/backup_recovery.rs,502,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,bc.identity_registry.get(&did).map(|id| id.display_name.clone())
zhtp/src/api/handlers/identity/mod.rs,1150,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,let dn = bc.identity_registry.get(&did).map(|id| id.display_name.clone());
zhtp/src/api/handlers/identity/mod.rs,1558,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,match blockchain.identity_registry.get(&req.did) {
zhtp/src/api/handlers/identity/mod.rs,1608,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,if let Some(id) = blockchain.identity_registry.get_mut(&req.did) {
zhtp/src/api/handlers/identity/mod.rs,1614,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/api/handlers/identity/mod.rs,1715,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if blockchain.identity_registry.contains_key(&key_id_did) {
zhtp/src/api/handlers/identity/mod.rs,1719,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/api/handlers/identity/mod.rs,1831,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,if let Some(id) = blockchain.identity_registry.get_mut(&did) {
zhtp/src/api/handlers/pouw/mod.rs,203,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/api/handlers/pouw/mod.rs,287,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if blockchain.identity_registry.contains_key(&key_id_did) {
zhtp/src/api/handlers/pouw/mod.rs,292,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/api/handlers/wallet/mod.rs,1602,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/api/handlers/wallet/mod.rs,1686,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.insert(did.clone(); identity_data);
zhtp/src/api/handlers/web4/domains.rs,196,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,let chain_id = bc.identity_registry.get(&owner_did).ok_or_else(|| {
zhtp/src/messaging/handler.rs,296,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if blockchain.identity_registry.contains_key(&key_id_did) {
zhtp/src/messaging/handler.rs,301,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/messaging/inbound_stream.rs,38,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if blockchain.identity_registry.contains_key(&key_id_did) {
zhtp/src/messaging/inbound_stream.rs,42,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,for (did; id) in blockchain.identity_registry.iter() {
zhtp/src/monitoring/metrics.rs,460,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,metrics.active_citizens = blockchain.identity_registry.len() as u64; // Active identities as citizens
zhtp/src/runtime/blockchain_provider.rs,93,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if bc.identity_registry.contains_key(&key_id_did) {
zhtp/src/runtime/blockchain_provider.rs,98,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,for (canonical_did; identity) in bc.identity_registry.iter() {
zhtp/src/runtime/components/blockchain.rs,169,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,if let Some(identity_data) = blockchain.identity_registry.get_mut(&user_did) {
zhtp/src/runtime/components/blockchain.rs,868,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len() as f64;
zhtp/src/runtime/components/blockchain.rs,893,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len() as f64;
zhtp/src/runtime/components/consensus.rs,344,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,for (did; identity_data) in blockchain.identity_registry.iter() {
zhtp/src/runtime/components/identity.rs,571,identity_registry,Lookup,shadow,#2639,identity_consensus_by_did()/iter,if bc.identity_registry.contains_key(did) {
zhtp/src/runtime/components/identity.rs,1226,identity_registry,Reference,shadow,#2639,identity_consensus_by_did()/iter,let identity_registry = bc.identity_registry.clone();
zhtp/src/runtime/mod.rs,1184,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,bc.identity_registry.len();
zhtp/src/runtime/services/bootstrap_service.rs,160,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,let local_identity_count = local_blockchain.identity_registry.len();
zhtp/src/runtime/services/bootstrap_service.rs,274,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,"info!(""  Identities: {}""; blockchain_guard.identity_registry.len());"
zhtp/src/runtime/services/genesis_funding.rs,343,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len();
zhtp/src/runtime/services/genesis_funding.rs,406,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if blockchain.identity_registry.contains_key(&user_did) {
zhtp/src/runtime/services/genesis_funding.rs,413,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/runtime/services/genesis_funding.rs,476,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,if !blockchain.identity_registry.contains_key(&validator_did) {
zhtp/src/runtime/services/genesis_funding.rs,477,identity_registry,Mutate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.insert(
zhtp/src/runtime/services/genesis_funding.rs,532,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len()
zhtp/src/runtime/services/mining_service.rs,191,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain.identity_registry.len()
zhtp/src/runtime/services/mining_service.rs,239,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain_guard.identity_registry.len()
zhtp/src/runtime/services/mining_service.rs,269,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,blockchain_guard.identity_registry.iter()
zhtp/src/server/quic_handler.rs,896,identity_registry,Reference,blockchain,#2639,identity_consensus_by_did()/iter,.identity_registry
zhtp/src/unified_server.rs,2130,identity_registry,Aggregate,blockchain,#2639,identity_consensus_by_did()/iter,"""identity_count"": blockchain.identity_registry.len();"
zhtp/src/unified_server.rs,2175,identity_registry,Lookup,blockchain,#2639,identity_consensus_by_did()/iter,Ok(bc.identity_registry.contains_key(did) || bc.validator_registry.contains_key(did))
zhtp/src/api/handlers/dao/mod.rs,808,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/api/handlers/dao/mod.rs,3754,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),blockchain.validator_registry.insert(
zhtp/src/api/handlers/identity/backup_recovery.rs,2598,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry.insert(
zhtp/src/api/handlers/network/mod.rs,1142,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/components/oracle.rs,87,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),b.validator_registry
zhtp/src/runtime/components/oracle.rs,179,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/components/oracle.rs,524,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/components/oracle.rs,751,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/components/protocols.rs,465,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),let ips: Vec<std::net::Ipv4Addr> = bc.validator_registry
zhtp/src/runtime/mod.rs,1185,validator_registry,Aggregate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry.len();
zhtp/src/runtime/mod.rs,3510,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/mod.rs,3584,validator_registry,Lookup,blockchain,#2639,validator facade (consensus-critical),if blockchain.validator_registry.contains_key(&node_did) {
zhtp/src/runtime/mod.rs,5563,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry.insert(bv.identity_id.clone(); vi);
zhtp/src/runtime/mod.rs,5583,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry = dat_bc.validator_registry;
zhtp/src/runtime/mod.rs,6369,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry.insert(
zhtp/src/runtime/mod.rs,6394,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/mod.rs,6418,validator_registry,Mutate,blockchain,#2639,validator facade (consensus-critical),bc.validator_registry.insert(
zhtp/src/runtime/mod.rs,6442,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/mod.rs,6494,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),src.validator_registry
zhtp/src/runtime/mod.rs,6496,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),src.validator_registry
zhtp/src/runtime/services/genesis_funding.rs,504,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/runtime/validator_ip.rs,77,validator_registry,Lookup,blockchain,#2639,validator facade (consensus-critical),if let Some(validator) = blockchain.validator_registry.get(did) {
zhtp/src/runtime/validator_ip.rs,97,validator_registry,Reference,blockchain,#2639,validator facade (consensus-critical),.validator_registry
zhtp/src/unified_server.rs,2175,validator_registry,Lookup,blockchain,#2639,validator facade (consensus-critical),Ok(bc.identity_registry.contains_key(did) || bc.validator_registry.contains_key(did))
tools/chain_audit.rs,145,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],"println!(""  wallet_registry entries:    {}""; bc.wallet_registry.len());"
tools/chain_audit.rs,175,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],let wallet_divergence = bc.wallet_registry.len() as i64 - wallet_ids_in_blocks.len() as i64;
tools/chain_audit.rs,181,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],bc.wallet_registry.len(); wallet_ids_in_blocks.len(); wallet_divergence);
tools/chain_audit.rs,209,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],for (wallet_id; wallet) in &bc.wallet_registry {
tools/testnet_reset.rs,102,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],bc.wallet_registry.values().cloned().collect();
tools/wallet_probe.rs,42,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],blockchain.wallet_registry.len()
tools/wallet_probe.rs,59,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],"println!(""wallet_registry   entries: {}""; blockchain.wallet_registry.len());"
tools/wallet_probe.rs,108,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],for (wallet_id_hex; w) in blockchain.wallet_registry.iter() {
tools/wallet_probe.rs,140,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],for (wid; w) in blockchain.wallet_registry.iter().take(10) {
zhtp-cli/src/commands/blockchain.rs,225,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],total_wallets_in_local_state: blockchain.wallet_registry.len();
zhtp-cli/src/commands/blockchain.rs,229,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp-cli/src/commands/blockchain.rs,233,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp-cli/src/commands/genesis.rs,74,wallet_registry,Aggregate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],bc.wallet_registry.len();
zhtp/src/api/handlers/blockchain/mod.rs,3210,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/identity/backup_recovery.rs,633,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/identity/backup_recovery.rs,795,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/identity/backup_recovery.rs,1930,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/identity/backup_recovery.rs,2631,wallet_registry,Mutate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],bc.wallet_registry.insert(
zhtp/src/api/handlers/identity/mod.rs,2039,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/web4/domains.rs,384,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/web4/domains.rs,988,wallet_registry,Reference,blockchain,#2639*,wallet facade [blocked: executor sled wiring],.wallet_registry
zhtp/src/api/handlers/web4/domains.rs,2304,wallet_registry,Mutate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],blockchain.wallet_registry.insert(
zhtp/src/api/handlers/web4/domains.rs,2314,wallet_registry,Mutate,blockchain,#2639*,wallet facade [blocked: executor sled wiring],blockchain.wallet_registry.insert(
zhtp/src/runtime/components/identity.rs,973,wallet_registry,Lookup,shadow,#2639*,wallet facade [blocked: executor sled wiring],if !bc.wallet_registry.contains_key(wid) {
zhtp/src/runtime/components/identity.rs,1015,wallet_registry,Lookup,shadow,#2639*,wallet facade [blocked: executor sled wiring],if !bc.wallet_registry.contains_key(wid) {
